user input,assistant response
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, insomnia, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, insomnia, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, insomnia, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, chest tightness, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from dizziness, insomnia, chest tightness, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, depressive or psychotic symptoms, dizziness, abnormal involuntary movements, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, dizziness, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, shortness of breath, dizziness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, insomnia, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, dizziness, insomnia, chest tightness, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, depressive or psychotic symptoms, abnormal involuntary movements, palpitations, irregular heartbeat, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, dizziness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depression, abnormal involuntary movements, chest tightness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, insomnia, chest tightness, palpitations, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from depressive or psychotic symptoms, abnormal involuntary movements, chest tightness, irregular heartbeat.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, depression, shortness of breath, insomnia, abnormal involuntary movements, palpitations.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, dizziness, insomnia, abnormal involuntary movements, palpitations, breathing fast.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
"I am suffering from shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, chest tightness.",You may be suffering from panic disorder. It is advised to see a healthcare professional.
